c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 57328 9 1 1798 3 0 0 0 1 1 142.251.209.36 443 8 0 6308 3 0 0 0 1 0 649.07470703125 2551.203857421875 8192 www.google.com - 160 0 www.google.com - 142.251.209.36@443_192.168.84.55@57328 "1970-01-01 00:00:00.649074707" "1970-01-01 00:00:02.551203857" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 47328 15 0 2381 7 0 0 0 1 1 142.251.209.35 443 17 0 7294 7 0 0 0 1 1 479.077880859375 2551.2197265625 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 142.251.209.35@443_192.168.84.55@47328 "1970-01-01 00:00:00.479077881" "1970-01-01 00:00:02.551219727" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.33KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 54104 12 0 1821 3 0 0 0 1 1 142.251.209.46 443 12 0 8248 6 0 0 0 1 1 2239.897705078125 2551.2265625 8192 play.google.com - 160 0 play.google.com - 142.251.209.46@443_192.168.84.55@54104 "1970-01-01 00:00:02.239897705" "1970-01-01 00:00:02.551226562" play.google.com HTTP/1.x-HTTP/2_null 1.78KB 8.05KB "0.05 kbits" "0.21 kbits"
192.168.84.55 39578 10 0 1867 3 0 0 0 1 1 108.177.96.84 443 9 0 6356 3 0 0 0 1 1 644.597900390625 2595.15380859375 8192 accounts.google.com - 160 0 accounts.google.com - 108.177.96.84@443_192.168.84.55@39578 "1970-01-01 00:00:00.644597900" "1970-01-01 00:00:02.595153809" accounts.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 59036 53 0 58680 46 0 0 0 1 1 162.247.243.29 443 45 0 5187 5 0 0 0 1 1 12758.70654296875 14078.509765625 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.243.29@443_192.168.84.55@59036 "1970-01-01 00:00:12.758706543" "1970-01-01 00:00:14.078509766" data.net HTTP/1.x-HTTP/2_null 57.30KB 5.07KB "0.36 kbits" "0.03 kbits"
192.168.84.55 33034 16 1 4524 7 0 0 0 1 1 3.126.67.130 443 14 0 5819 6 0 0 0 1 0 12860.009765625 30227.505859375 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@33034 "1970-01-01 00:00:12.860009766" "1970-01-01 00:00:30.227505858" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.68KB "0.00 kbits" "0.00 kbits"
192.168.84.55 33040 14 1 2814 8 0 0 0 1 1 3.126.67.130 443 13 0 390 3 0 0 0 1 0 14282.367919921875 30231.51171875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@33040 "1970-01-01 00:00:14.282367920" "1970-01-01 00:00:30.231511719" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.75KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 33048 12 1 4515 7 0 0 0 1 1 3.126.67.130 443 12 0 390 3 0 0 0 1 0 16504.041748046875 30231.519775390625 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.67.130@443_192.168.84.55@33048 "1970-01-01 00:00:16.504041748" "1970-01-01 00:00:30.231519775" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.41KB 390.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 42176 9 0 1830 3 0 0 0 1 1 142.251.209.36 443 8 0 5350 2 0 0 0 1 1 21576.7197265625 31874.2548828125 8192 www.google.com - 160 0 www.google.com - 142.251.209.36@443_192.168.84.55@42176 "1970-01-01 00:00:21.576719727" "1970-01-01 00:00:31.874254883" www.google.com HTTP/1.x-HTTP/2_null 1.79KB 5.22KB "0.00 kbits" "0.00 kbits"
192.168.84.55 42182 11 0 2201 4 1 737 0 1 1 91.81.129.236 443 10 0 571 3 0 0 0 1 1 33544.063720703125 39504.306884765625 8192 dcf-de-livedazn.daznedge.net - 160 0 dcf-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@42182 "1970-01-01 00:00:33.544063721" "1970-01-01 00:00:39.504306885" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.15KB 571.00B "0.00 kbits" "0.00 kbits"
